"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","624","827","62.4","82.69999999999999"
"scientific reasoning","122","90","100","73.77049180327869","81.9672131147541"
"textbook question answering","158","107","131","67.72151898734177","82.91139240506328"
"numeric commonsense","144","78","86","54.166666666666664","59.72222222222222"
"arithmetic reasoning","353","190","260","53.82436260623229","73.65439093484419"
"visual question answering","179","123","119","68.71508379888269","66.4804469273743"
"geometry reasoning","239","121","229","50.627615062761514","95.81589958158996"
"algebraic reasoning","281","149","263","53.02491103202846","93.59430604982207"
"geometry problem solving","208","105","202","50.480769230769226","97.11538461538461"
"math word problem","186","88","151","47.31182795698925","81.18279569892472"
"logical reasoning","37","23","20","62.16216216216216","54.054054054054056"
"figure question answering","269","201","224","74.72118959107806","83.27137546468401"
"statistical reasoning","301","205","271","68.10631229235881","90.03322259136213"
