"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","249","832","24.9","83.2"
"scientific reasoning","122","38","103","31.147540983606557","84.42622950819673"
"textbook question answering","158","39","134","24.68354430379747","84.81012658227847"
"numeric commonsense","144","36","83","25.0","57.638888888888886"
"arithmetic reasoning","353","86","271","24.362606232294617","76.77053824362606"
"visual question answering","179","80","120","44.6927374301676","67.0391061452514"
"geometry reasoning","239","25","227","10.460251046025103","94.97907949790795"
"algebraic reasoning","281","38","262","13.523131672597867","93.23843416370107"
"geometry problem solving","208","19","201","9.134615384615383","96.63461538461539"
"math word problem","186","22","153","11.827956989247312","82.25806451612904"
"logical reasoning","37","1","26","2.7027027027027026","70.27027027027027"
"figure question answering","269","89","224","33.08550185873606","83.27137546468401"
"statistical reasoning","301","93","266","30.89700996677741","88.37209302325581"
