"Subject","tot","prefetch","hit","prefetch_rate","acc"
"Overall","3040","1084","2078","35.6578947368421","68.35526315789474"
"algebra","345","89","277","25.79710144927536","80.28985507246377"
"analytic geometry","84","37","64","44.047619047619044","76.19047619047619"
"arithmetic","140","46","100","32.857142857142854","71.42857142857143"
"combinatorial geometry","308","148","161","48.05194805194805","52.27272727272727"
"combinatorics","168","25","126","14.880952380952381","75.0"
"counting","67","15","36","22.388059701492537","53.73134328358209"
"descriptive geometry","104","76","43","73.07692307692307","41.34615384615385"
"graph theory","90","20","49","22.22222222222222","54.44444444444444"
"logic","119","37","81","31.092436974789916","68.0672268907563"
"metric geometry - angle","173","50","116","28.901734104046245","67.05202312138728"
"metric geometry - area","500","154","370","30.8","74.0"
"metric geometry - length","449","160","371","35.634743875278396","82.62806236080178"
"solid geometry","244","80","150","32.78688524590164","61.47540983606557"
"statistics","58","31","34","53.44827586206896","58.620689655172406"
"topology","23","15","6","65.21739130434783","26.08695652173913"
"transformation geometry","168","101","94","60.11904761904761","55.952380952380956"
