"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","559","666","55.900000000000006","66.60000000000001"
"scientific reasoning","122","75","91","61.47540983606557","74.59016393442623"
"textbook question answering","158","88","119","55.69620253164557","75.31645569620254"
"numeric commonsense","144","60","57","41.66666666666667","39.58333333333333"
"arithmetic reasoning","353","209","203","59.20679886685553","57.50708215297451"
"visual question answering","179","108","89","60.33519553072626","49.72067039106145"
"geometry reasoning","239","64","167","26.778242677824267","69.8744769874477"
"algebraic reasoning","281","86","201","30.604982206405694","71.53024911032028"
"geometry problem solving","208","46","148","22.115384615384613","71.15384615384616"
"math word problem","186","117","118","62.903225806451616","63.44086021505376"
"logical reasoning","37","11","13","29.72972972972973","35.13513513513514"
"figure question answering","269","200","192","74.34944237918215","71.37546468401487"
"statistical reasoning","301","252","247","83.72093023255815","82.05980066445183"
