"Subject","tot","prefetch","hit","prefetch_rate","acc"
"Overall","3040","376","1036","12.368421052631579","34.078947368421055"
"algebra","345","24","146","6.956521739130435","42.31884057971014"
"analytic geometry","84","10","31","11.904761904761903","36.904761904761905"
"arithmetic","140","15","65","10.714285714285714","46.42857142857143"
"combinatorial geometry","308","31","64","10.064935064935066","20.77922077922078"
"combinatorics","168","9","54","5.357142857142857","32.142857142857146"
"counting","67","3","15","4.477611940298507","22.388059701492537"
"descriptive geometry","104","10","17","9.615384615384617","16.346153846153847"
"graph theory","90","6","23","6.666666666666667","25.555555555555554"
"logic","119","15","36","12.605042016806722","30.252100840336134"
"metric geometry - angle","173","57","66","32.947976878612714","38.15028901734104"
"metric geometry - area","500","70","197","14.000000000000002","39.4"
"metric geometry - length","449","63","186","14.03118040089087","41.42538975501114"
"solid geometry","244","20","71","8.19672131147541","29.098360655737704"
"statistics","58","10","22","17.24137931034483","37.93103448275862"
"topology","23","7","6","30.434782608695656","26.08695652173913"
"transformation geometry","168","26","37","15.476190476190476","22.023809523809522"
